,Kelurahan,Kecamatan,Nama Starbucks,Alamat
32,Kenari,SENEN,Universitas Indonesia Watch,"Alamat: Jl. Salemba Raya 4 Lt 4 Kenari Senen, RW.5, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430 "
33,Kenari,SENEN,Sekolah Tinggi Ilmu Ekonomi Y.A.I,"Alamat: Jl. Salemba Raya No.7-9A, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440 "
34,Kenari,SENEN,Gedung Rektorat Salemba,"Alamat: Jl. Salemba Raya No.7-9A, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440 "
35,Kenari,SENEN,LPT UI,"Alamat: 5, RW.5, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430 "
36,Paseban,SENEN,S-2 Unhan,"Alamat: RT.3/RW.5, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440 "
37,Paseban,SENEN,Universitas Bina Sarana Informatika Kampus Salemba (UBSI Salemba),"Alamat: Jl. Salemba Tengah No.22, RT.1/RW.4, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440 "
38,Paseban,SENEN,Kampus Bsi Salemba,"Alamat: Jl. Salemba Raya No.4, RW.5, Paseban, Senen, Central Jakarta City, Jakarta 10430 "
39,Paseban,SENEN,Kampus YAI,"Alamat: Jl. Salemba Raya No.9, RT.1/RW.3, Paseban, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440 "
40,Kramat,SENEN,Kampus Kramat,"Alamat: Jl. Kramat Raya No.57, RT.8/RW.8, Kramat, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10450 "
41,Kramat,SENEN,Kampus A Universitas Gunadarma,"Alamat: Jl. Kramat Raya No.1, RT.5/RW.9, Kramat, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430 "
42,Kramat,SENEN,Swadharma Bina Informatika,"Alamat: Jl. Kramat Raya Blok A/5 No.3-5, RT.1/RW.8, Kramat, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10450 "
43,Kwitang,SENEN,Universitas Bina Sarana Informatika Kampus Kramat 98 (UBSI Kramat 98),"Alamat: Jl. Kramat Raya No.98, RW.9, Kwitang, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10450 "
44,Kwitang,SENEN,Universitas Nusa Mandiri Kampus Kramat Raya,"Alamat: Jl. Kramat Raya No.18, RT.5/RW.7, Kwitang, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10450 "
45,Kwitang,SENEN,"""Stikes Kesosi""","Alamat: Jl. Kramat II No.13, RT.1/RW.8, Kwitang, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10420 "
46,Kwitang,SENEN,Stmik Nusa Mandiri 18,"Alamat: Jl. Kramat Raya No.3b, RT.4/RW.2, Kwitang, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10420 "
47,Bungur,SENEN,Ponpon,"Alamat: RRGW+877, Jl. Kalibaru Timur, RT.12/RW.6, Bungur, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10460 "
48,Cemp. Putih Tim.,CEMPAKA PUTIH,Universitas YARSI,"Alamat: Menara Yarsi, Jl. Letjen Suprapto No.Kav. 13, RT.10/RW.5, Cemp. Putih Tim., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10510 "
49,Cemp. Putih Tim.,CEMPAKA PUTIH,Universitas Madi,"Alamat: Jl. Cempaka Putih Tengah 4 B No.9, RT.9/RW.5, Cemp. Putih Tim., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10510 "
50,Cemp. Putih Tim.,CEMPAKA PUTIH,Politeknik STMI Jakarta,"Alamat: 10, Jl. Letjen Suprapto No.26, RW.5, Cemp. Putih Tim., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10510 "
51,Cemp. Putih Tim.,CEMPAKA PUTIH,Universitas Muhammadiyah Jakarta,"Alamat: Jl. Cemp. Putih Tengah No.27, RT.11/RW.5, Cemp. Putih Tim., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10510 "
52,Cemp. Putih Tim.,CEMPAKA PUTIH,"Universitas Trisakti, Kampus F","Alamat: Jl. Cemp. Putih Tengah No.27, RT.11/RW.5, Cemp. Putih Tim., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10510 "
53,Rawasari,CEMPAKA PUTIH,Universitas boim,"Alamat: Percetakan Negara 5, RW.1, Rawasari, Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570 "
54,Kec. Menteng,MENTENG,Universitas Nahdlatul Ulama Indonesia (UNUSIA) Jakarta,"Alamat: Jl. Taman Amir Hamzah No.5, RT.8/RW.4, Pegangsaan, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10320 "
55,Kec. Menteng,MENTENG,Universitas Indonesia Kampus Cikini,"Alamat: RR2R+FW9, RT.1/RW.1, Pegangsaan, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10320 "
56,Kec. Menteng,MENTENG,Universitas Mercu Buana - Menteng,"Alamat: Jl. Menteng Raya No.29, RT.1/RW.10, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340 "
57,Kec. Menteng,MENTENG,Jakarta Bay,"Alamat: RR2W+5QV, RT.9/RW.2, Pegangsaan, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10320 "
58,Kec. Menteng,MENTENG,Universitas Bung Karno,"Alamat: Jl. Pegangsaan Timur No.17A, Menteng, RT.1/RW.1, Pegangsaan, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310 "
59,Kec. Menteng,MENTENG,Akademi Jakarta,"Alamat: Jl. Cikini Raya No.73, RT.8/RW.5, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330 "
60,Pegangsaan,MENTENG,Universitas Indonesia Kampus Cikini,"Alamat: RR2R+FW9, RT.1/RW.1, Pegangsaan, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10320 "
61,Pegangsaan,MENTENG,Universitas Bung Karno,"Alamat: Jl. Pegangsaan Timur No.17A, Menteng, RT.1/RW.1, Pegangsaan, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310 "
62,Pegangsaan,MENTENG,Universitas Nahdlatul Ulama Indonesia (UNUSIA) Jakarta,"Alamat: Jl. Taman Amir Hamzah No.5, RT.8/RW.4, Pegangsaan, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10320 "
63,Pegangsaan,MENTENG,Universitas Pancasila,"Alamat: Jl. Borobudur No.7, RT.9/RW.2, Pegangsaan, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10320 "
64,Pegangsaan,MENTENG,Jakarta Bay,"Alamat: RR2W+5QV, RT.9/RW.2, Pegangsaan, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10320 "
65,Pegangsaan,MENTENG,Perpustakaan UNUSIA,"Alamat: Jl. Taman Amir Hamzah No.5, RT.8/RW.4, Pegangsaan, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430 "
66,Cikini,MENTENG,STIBA Indonesia LPI,"Alamat: Jl. Cikini Raya No.64, RT.14/RW.5, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330 "
67,Cikini,MENTENG,Kampus Pascasarjana IKJ,"Alamat: Jakarta Pusat 8 2, RT.8/RW.2, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330 "
68,Cikini,MENTENG,AKPER RS PGI CIKINI JAKARTA,"Alamat: RT.12/RW.2, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330 "
69,Cikini,MENTENG,Akademi Ilmu & Teknologi Komputer,"Alamat: RR4R+8JX, Jl. Ciasem, RT.4/RW.4, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350 "
70,Kb. Sirih,MENTENG,Universitas Mercu Buana - Menteng,"Alamat: Jl. Menteng Raya No.29, RT.1/RW.10, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340 "
71,Kb. Sirih,MENTENG,Lembaga Perguruan Taman Taruna Nusantara,"Alamat: Jl. K.H. Wahid Hasyim No.7, RT.1/RW.4, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350 "
72,Gelora,TANAH ABANG,Universitas Prof. Dr. Moestopo (Beragama),"Alamat: Jl. Hang Lekir I, RT.1/RW.3, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270 "
73,Gelora,TANAH ABANG,BINUS UNIVERSITY International,"Alamat: 1, Jl. Hang Lekir I No.6, RT.1/RW.3, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270 "
74,Gelora,TANAH ABANG,Binus International University Fx Sudirman Campus,"Alamat: Fx Sudirman, Jl. Pintu Satu Senayan Jl. Jenderal Sudirman No.f6, RT.1/RW.3, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270 "
75,Bend. Hilir,TANAH ABANG,Politeknik Hang Tuah Jakarta,"Alamat: Jl. Bendungan Hilir, RT.12/RW.6, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210 "
76,Bend. Hilir,TANAH ABANG,Civilian,"Alamat: Jl. Bendungan Hilir No.7, RT.4/RW.1, Bend. Hilir, Jakarta, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210 "
77,Bend. Hilir,TANAH ABANG,Akademi Farmasi Hangtuah Jakarta,"Alamat: Jl. Farmasi No. 1, Kel. Bendungan Hilir, Kec. Tanah Abang, Jl. Bend. Jatiluhur, RT.4/RW.3, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270 "
78,Bend. Hilir,TANAH ABANG,SERIKAT RAKYAT MISKIN INDONESIA,"Alamat: Jl. Tm. Bend. Jatiluhur III No.6, RT.10/RW.2, Bend. Hilir, Jakarta, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210 "
79,Karet Tengsin,TANAH ABANG,Sekolah Tinggi Ilmu Komunikasi,"Alamat: Jl. Karet Ps. Baru Tim. 4 No.17, RT.15/RW.8, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250 "
80,Karet Tengsin,TANAH ABANG,Ui,"Alamat: QRX9+247, RT.6/RW.8, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250 "
81,Petamburan,TANAH ABANG,Fakultas Teologi ITKI,"Alamat: Kampus Bethel, JL. Petamburan 4, No. 253, 10260, RT.8/RW.4, Petamburan, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10260 "
82,Petamburan,TANAH ABANG,Last,"Alamat: Jl. K.S. Tubun No.33, RT.1/RW.2, Petamburan, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 11410 "
83,Petamburan,TANAH ABANG,BNI Corporate University,"Alamat: Jl. Letjen S. Parman No.55-56, RT.9/RW.6, Petamburan, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10260 "
84,Petamburan,TANAH ABANG,Seminari Bethel,"Alamat: Jl. Petamburan IV No.5, RT.1/RW.4, Petamburan, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10260 "
85,Kp. Bali,TANAH ABANG,University Of Newcastle - Jakarta Branch,"Alamat: The Boulevard, Jl. H. Fachrudin No.5, RT.1/RW.7, Kp. Bali, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250 "
86,Johar Baru,JOHAR BARU,Program Studi Ilmu Administrasi Bisnis,"Alamat: RV86+VP4, RT.2/RW.5, Johar Baru, Kec. Johar Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10560 "
87,Johar Baru,JOHAR BARU,Mohamad Zacky dwitama,"Alamat: Jl. Kawi Kawi Bawah No.30, RT.7/RW.8, Johar Baru, Kec. Johar Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10560 "
88,Galur,JOHAR BARU,Sekolah Tinggi Filsafat,"Alamat: Jl. Percetakan Negara No. 31-A Galur Johar Baru Jakarta Pusat DKI Jakarta, RT.9, Galur, Kec. Johar Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10440 "
89,Galur,JOHAR BARU,Stiami,"Alamat: Indonesia, Jl. Pangkalan Asem Raya No. 55, Cempaka Putih, Jakarta Pusat, RT.5/RW.7, Galur, Kec. Johar Baru, Jakarta, Daerah Khusus Ibukota Jakarta 10530 "
90,Galur,JOHAR BARU,INSTITUT STIAMI KAMPUS PASCASARJANA,"Alamat: Jalan Let.Jend. Suprapto No. 504, Cempaka Putih, RT.1/RW.6, Galur, Jakarta, RT.1/RW.6, Galur, Kec. Johar Baru, DKI Jakarta, Daerah Khusus Ibukota Jakarta 10530 "
91,Penjaringan,PENJARINGAN,"Universitas Katolik Indonesia Atma Jaya, Kampus Pluit","Alamat: Jl. Pluit Raya No.2, RT.21/RW.8, Penjaringan, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14440 "
92,Sunter Jaya,TANJUNG PRIOK,SPRII,"Alamat: Ruko Prima SUnter Blok B& C Jalan Danau Sunter Utara, RT.10/RW.11, Sunter Agung, Tanjung Priok, RT.10/RW.11, Sunter Jaya, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14350 "
93,Papanggo,TANJUNG PRIOK,Base anime,"Alamat: VVFC+PW5, RT.1/RW.7, Papanggo, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta "
94,Sungai Bambu,TANJUNG PRIOK,AKADEMI PERAWAT SISMADI,"Alamat: Jl. Sungai Bambu No.17, RT.1/RW.14, Sungai Bambu, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14330 "
95,Sungai Bambu,TANJUNG PRIOK,UPT Manufaktur TPM,"Alamat: VV7P+CMX, Jl. Sungai Bambu, RW.8, Sungai Bambu, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14330 "
96,Sungai Bambu,TANJUNG PRIOK,Rumah Yani Uun,"Alamat: Jl. Enim Raya No.13B, RT.2/RW.2, Sungai Bambu, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14330 "
97,Sungai Bambu,TANJUNG PRIOK,Akademi Kebidanan Sismadi,"Alamat: Jemb. Trio No.3, RT.3/RW.7, Sungai Bambu, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14330 "
98,Kb. Bawang,TANJUNG PRIOK,Tempat buku pelaut,"Alamat: VVQR+5J3, RT.7/RW.7, Kb. Bawang, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14320 "
99,Sunter Agung,TANJUNG PRIOK,Untak,"Alamat: VV87+JRV, Jl. Bisma Raya, RT.5/RW.18, Sunter Agung, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14350 "
100,Sunter Agung,TANJUNG PRIOK,Universitas 17 Agustus 1945,"Alamat: Podomoro, Jl. Sunter Permai Raya No.1, RT.11/RW.6, Sunter Agung, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14350 "
101,Sunter Agung,TANJUNG PRIOK,Universitas Parahyangan,"Alamat: Jl. Danau Sunter Utara No.10-11, RT.6/RW.4, Sunter Agung, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14340 "
102,Sunter Agung,TANJUNG PRIOK,Jnnm,"Alamat: Blk. I No.3, RW.18, Sunter Agung, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14350 "
103,Sunter Agung,TANJUNG PRIOK,Jakarta utara,"Alamat: VV68+MJJ, RT.1/RW.19, Sunter Agung, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14350 "
104,Sunter Agung,TANJUNG PRIOK,Umi,"Alamat: Jl. RS. Paru-Paru No.1, RT.1/RW.3, Sunter Agung, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14350 "
105,Sunter Agung,TANJUNG PRIOK,SRG STR,"Alamat: Jl. Sultan Hasanudin No.14, RW.14, Sunter Agung, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14350 "
106,Warakas,TANJUNG PRIOK,STIKes dr. Sismadi Kampus Jakarta,"Alamat: Jl. Warakas Raya No.5B, RT.2/RW.1, Warakas, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14340 "
107,Warakas,TANJUNG PRIOK,Pengajian AZ-ZIKRA,"Alamat: Jl. Gg. 20 No.2, RW.13, Warakas, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14370 "
108,Kec. Koja,KOJA,Universitas Pertiwi,"Alamat: Jl. Menteng No.76, RT.1/RW.14, Lagoa, Kec. Koja, Jakarta, Daerah Khusus Ibukota Jakarta 14270 "
109,Kec. Koja,KOJA,Pasar Sepak,"Alamat: Jl. Cipeucang III No.46, RT.8/RW.13, Koja, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14220 "
110,Kec. Koja,KOJA,"Politeknik LP3I Jakarta, Kampus Jakarta Utara","Alamat: Jl. Plumpang Semper No.27, RT.9/RW.2, Rawabadak Sel., Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14230 "
111,Kec. Koja,KOJA,San subardi,"Alamat: VWJ7+Q88, Jl. Mahoni, RT.12/RW.15, Lagoa, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14260 "
112,Kec. Koja,KOJA,RT rahman,"Alamat: 7, Jl. Lontar I No.6, RW.4, Tugu Utara, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14260 "
113,Tugu Utara,KOJA,STKIP 'Purnama' Kampus Plumpang,"Alamat: Jalan Plumpang Semper No.3, RT.1/RW.12, Rawabadak Selatan, Koja, RT.8/RW.1, Tugu Utara, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14230 "
114,Tugu Utara,KOJA,RT rahman,"Alamat: 7, Jl. Lontar I No.6, RW.4, Tugu Utara, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14260 "
115,Rawabadak Sel.,KOJA,STIE Trianandra,"Alamat: Jl. Samudra Oxford No.01, RT.3/RW.6, Rawabadak Sel., Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14230 "
