,Kelurahan,Kecamatan,Nama Starbucks,Alamat
35,Penjaringan,PENJARINGAN,Starbucks Baywalk Mall,"Alamat: BayWalk Mall Blok B1 Utara, Jalan Pluit Karang Ayu Barat, Pluit, Penjaringan, RT.20/RW.2, Pluit, Jakarta Utara, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450 "
36,Kamal Muara,PENJARINGAN,Starbucks PIK Elang Laut,"Alamat: Jl. Pantai Indah Selatan No.19, RT.3/RW.3, Kamal Muara, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14470 "
37,Kamal Muara,PENJARINGAN,STARBUCKS PIK CROWN,"Alamat: Ruko Crown Golf Blok B No.23-25 Bukit golf Mediterania, Jl. Marina Raya Jl. Pantai Indah Kapuk, RT.6/RW.2, Kamal Muara, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14470 "
38,Kapuk Muara,PENJARINGAN,Starbucks Pantai Indah Kapuk,"Alamat: Jl. Pantai Indah Utara 2 Blok 8 No.Kav 1, Kapuk Muara, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14460 "
39,Sunter Agung,TANJUNG PRIOK,Starbucks Sunter Mall,"Alamat: RT.14/RW.13, Sunter Agung, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14350 "
40,Sunter Agung,TANJUNG PRIOK,Starbucks Sunter Green Lake,"Alamat: Jl. Danau Sunter Selatan No.36, RT.15/RW.16, Sunter Agung, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14350 "
41,Sunter Agung,TANJUNG PRIOK,Starbucks Food Centrum,"Alamat: Kantor MTA, Jl. Griya Utama Blok BA-BB-BC, RT.2/RW.5, Sunter Agung, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14350 "
42,Pademangan Tim.,PADEMANGAN,Starbucks - JIExpo Kemayoran,"Alamat: Jl. Rajawali Selatan Raya No.14, Pademangan Tim., Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14410 "
43,Pademangan Bar.,PADEMANGAN,Starbucks,"Alamat: Komplek Marinatama Blok A 26, Jl. Gn. Sahari No.1, RT.1/RW.13, Pademangan Bar., Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14420 "
44,Ancol,PADEMANGAN,Starbucks,"Alamat: VRHV+3GQ, Taman Impian Jaya Ancol, RW.10, Ancol, Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14430 "
45,Klp. Gading Tim.,KELAPA GADING,Starbucks,"Alamat: Jl. Boulevard Raya, RT.13/RW.18, Klp. Gading Tim., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240 "
46,Klp. Gading Tim.,KELAPA GADING,Starbucks Bella Terra,"Alamat: Jl. Boulevard Raya Blok H4 No.1, Klp. Gading Tim., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240 "
47,Klp. Gading Tim.,KELAPA GADING,Starbucks,"Alamat: Jl. Mandiri Utara No.13 13 18, RT.13/RW.18, Klp. Gading Tim., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240 "
48,Klp. Gading Bar.,KELAPA GADING,Starbucks,"Alamat: Jl. Boulevard Bar. Blok LC No.53, RT.13/RW.7, Klp. Gading Bar., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240 "
49,Klp. Gading Bar.,KELAPA GADING,Starbucks Mall of Indonesia,"Alamat: Jl. Boulevard Bar. Raya, RT.18/RW.8, Klp. Gading Bar., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240 "
50,Klp. Gading Bar.,KELAPA GADING,Starbucks Mall Artha Gading,"Alamat: Jl. Boulevard Artha Gading selatan No.1, RT.18/RW.8, Klp. Gading Bar., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240 "
51,Cengkareng Bar.,CENGKARENG,Starbucks Coffee Green Sedayu Mall,"Alamat: Jl. Taman Palem Lestari No.10, Cengkareng Bar., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730 "
52,Duri Kosambi,CENGKARENG,Starbucks greenlake 9605,"Alamat: Rukan sentra niaga, Jl. Green Lake City Boulevard, Duri Kosambi, Cengkareng, West Jakarta City, Jakarta "
53,Cengkareng Tim.,CENGKARENG,Starbucks Coffee Ruko Taman Palem,"Alamat: Jl. Taman Palem Mutiara Jkt Outer Ring Road No.21A, RT.7/RW.14, Cengkareng Tim., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730 "
54,Tj. Duren Utara,GROGOL PETAMBURAN,Starbucks Mall Ciputra,"Alamat: Jalan Arteri S Parman Grogol t, RT.11/RW.1, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470 "
55,Tomang,GROGOL PETAMBURAN,Starbucks Tomang Raya,"Alamat: Jl. Tomang Raya No.25, RT.1/RW.1, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440 "
56,Tj. Duren Sel.,GROGOL PETAMBURAN,Starbucks Tanjung Duren,"Alamat: Jl. Tj. Duren Barat 1 No.10, RT.12/RW.2, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470 "
57,Tj. Duren Sel.,GROGOL PETAMBURAN,Starbucks MGR 1,"Alamat: Jl. Tanjung Duren Raya No.Kav.5-9, RT.3/RW.5, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470 "
58,Tj. Duren Sel.,GROGOL PETAMBURAN,Starbucks Mal Taman Anggrek,"Alamat: Jl. Letjen S. Parman No.Kav 21, RT.12/RW.1, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470 "
59,Tj. Duren Sel.,GROGOL PETAMBURAN,Starbucks Neo SOHO,"Alamat: RT.15/RW.5, Tj. Duren Sel., Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470 "
60,Maphar,TAMAN SARI,Starbucks Hayam Wuruk Plaza,"Alamat: Hayam Wuruk Plaza, Jl. Hayam Wuruk No.108, RT.4/RW.9, Maphar, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11160 "
61,Glodok,TAMAN SARI,Starbucks Green Central City,"Alamat: 1, Green Central City, Jl. Gajah Mada No.188, RW.6, Glodok, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11120 "
62,Tambora,TAMBORA,Starbucks seasons city,"Alamat: TM Season City Unit GF1, Jl. Prof. Dr. Latumeten No.33, RT.1/RW.5, Jembatan Besi, Tambora, West Jakarta City, Jakarta 11320 "
63,Duri Kepa,KEBON JERUK,Starbucks Greenville,"Alamat: Jl. Green Ville Raya, Blk. K No.3, RT.8/RW.14, Duri Kepa, Kebonjeruk, West Jakarta City, Jakarta 11510 "
64,Kedoya Utara,KEBON JERUK,Starbucks Wang Plaza,"Alamat: Jl. Panjang No.Kav 17, RW.11, Kedoya Utara, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11520 "
65,Kalideres,KALIDERES,STARBUCKS CITRA 7,"Alamat: Jl. Citra 7 No.7, RW.11, Kalideres, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11840 "
66,Tegal Alur,KALIDERES,Starbucks Citra 6,"Alamat: Apartemen Citralake Suites, Jl. Citra Garden City 6 Boulevard No.5, RT.4/RW.5, Tegal Alur, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11820 "
67,Kec. Palmerah,PALMERAH,Starbucks,"Alamat: Jl. Letjen S. Parman No.77, RT.6/RW.3, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410 "
68,Srengseng,KEMBANGAN,Starbucks Coffee Pos Pengumben,"Alamat: Jl. Raya Pos Pengumben No.34A, RT.10/RW.3, Srengseng, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11630 "
69,Kembangan Sel.,KEMBANGAN,Starbucks Pesanggrahan 99,"Alamat: Jl. Pesanggrahan Mas Raya No.1, RT.1/RW.7, Kembangan Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610 "
70,Kembangan Sel.,KEMBANGAN,Starbucks,"Alamat: Jl. Puri Indah Raya No.3, RT.2/RW.2, Kembangan Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610 "
71,Tebet Tim.,TEBET,Starbucks Tebet Raya,"Alamat: 1, Jl. Tebet Raya No.27b, RT.1/RW.2, Tebet Tim., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12820 "
72,Tebet Bar.,TEBET,Starbucks,"Alamat: Jl. Letjen M.T. Haryono No.9, RT.11/RW.5, Tebet Bar., Jakarta, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12810 "
73,Menteng Dalam,TEBET,Starbucks Soepomo Tebet,"Alamat: 7, Soepomo, Jl. Prof. DR. Soepomo No.30, RW.1, Menteng Dalam, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12870 "
74,Menteng Dalam,TEBET,Starbucks Mall Kota Kasablanka,"Alamat: Jl. Raya Casablanca No.88, RT.14/RW.5, Menteng Dalam, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12870 "
75,Menteng Dalam,TEBET,Starbucks Coffee,"Alamat: Bidakara Medical Center, Menara Bidakara, Jl. Jend. Gatot Subroto, Jl. Bidakara No.71-73, RT.8/RW.8, Menteng Dalam, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12870 "
76,Menteng Dalam,TEBET,Starbucks Forward SOGO Kota Kasablanka,"Alamat: Jl. Raya Casablanca No.14, RW.5, Menteng Dalam, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta "
77,Karet Semanggi,SETIA BUDI,Starbucks Plaza Sentral,"Alamat: Jl. Jend. Sudirman No.47, RT.5/RW.4, Karet Semanggi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12930 "
78,Karet Semanggi,SETIA BUDI,Starbucks Kartika Chandra,"Alamat: Jl. Gatot Subroto No.Kav 18-20, RT.3/RW.2, Karet Semanggi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12930 "
79,Karet Semanggi,SETIA BUDI,Starbucks Menara Standard Chartered,"Alamat: Menara Standard Chartered, Jl. Prof. DR. Satrio No.164, RT.4/RW.4, Karet Semanggi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12930 "
80,Karet Semanggi,SETIA BUDI,Starbucks,"Alamat: Sampoerna Strategic Tower A Ground Floors Unit 03, Jl. Jenderal Sudirman, RT.10/RW.3, Karet Semanggi, Daerah Khusus Ibukota Jakarta 12930 "
81,Karet Semanggi,SETIA BUDI,Starbucks Tokopedia Tower,"Alamat: RT.3/RW.3 Karet Semanggi, Setiabudi, Jl. Prof. DR. Satrio No.Kav 11, RT.3/RW.3, Karet Semanggi, Setiabudi, South Jakarta City, Jakarta 12940 "
82,Karet Kuningan,SETIA BUDI,Starbucks,"Alamat: Jl. H. R. Rasuna Said No.1-2a, RT.18/RW.2, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920 "
83,Karet Kuningan,SETIA BUDI,Starbucks,"Alamat: Plaza Festival, Jl. H R Rasuna Said Kav C No. 22, Karet Kuningan, Setiabudi, RT.2/RW.5, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940 "
84,Karet Kuningan,SETIA BUDI,Starbucks,"Alamat: Jl. Prof. DR. Satrio No.18, RT.18/RW.4, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12930 "
85,Karet Kuningan,SETIA BUDI,Starbucks Kuningan City,"Alamat: 14, Jl. Prof. DR. Satrio No.18, RW.4, Kuningan, Karet Kuningan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940 "
86,Karet,SETIA BUDI,Starbucks,"Alamat: Jl. Jenderal Sudirman No.Kav 27, RW.2, Kuningan, Karet, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920 "
87,Guntur,SETIA BUDI,Starbucks,"Alamat: Medialand Tower, Jl. H. R. Rasuna Said No.2, RW.6, Guntur, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950 "
88,Kuningan Tim.,SETIA BUDI,Starbucks Coffee - The East,"Alamat: The East, Lantai 1, Lingkar Mega Kuningan No.1, RT.5/RW.2, Kuningan, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950 "
89,Kuningan Tim.,SETIA BUDI,Starbucks Coffee,"Alamat: Jl. H. R. Rasuna Said Blok X No.1 Kuningan Tim. Kota SelatanSetia Budi, RT.1/RW.2, Kuningan, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950 "
90,Kuningan Tim.,SETIA BUDI,Starbucks,"Alamat: Cyber 2, Lantai GF, Blok X-5 Kav 1-2, Jl. H. R. Rasuna Said, RT.7/RW.2, Kuningan, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950 "
91,Kuningan Tim.,SETIA BUDI,Starbucks Coffee Tempo Scan Tower,"Alamat: Tempo Scan Tower, Ground Floor, Jl. H. R. Rasuna Said, RT.5/RW.4, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12950 "
92,Bangka,MAMPANG PRAPATAN,Starbucks Kemang Sky,"Alamat: Jl. Kemang Raya No.12, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730 "
93,Bangka,MAMPANG PRAPATAN,Starbucks Coffee,"Alamat: Jl. Pangeran Antasari Jl. Kemang Raya No.36, RT.13/RW.5, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12150 "
94,Bangka,MAMPANG PRAPATAN,Starbucks Coffee Colony Kemang,"Alamat: Jl. Kemang Raya No.6A, RT.14/RW.1, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730 "
95,Kuningan Bar.,MAMPANG PRAPATAN,Starbucks Telkom Landmark Tower,"Alamat: The Telkom Hub, Jl. Gatot Subroto No.Kav. 52, RT.6/RW.1, Kuningan Bar., Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12710 "
96,Ps. Minggu,PASAR MINGGU,Starbucks Coffee,"Alamat: 53A, Jl. TB Simatupang No.2, RT.2/RW.1, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520 "
97,Ps. Minggu,PASAR MINGGU,Starbucks Pejaten Raya,"Alamat: Jl. Pejaten Raya No.26, RW.7, Pejaten Bar., Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510 "
98,Ps. Minggu,PASAR MINGGU,Starbucks Coffee,"Alamat: Perkantoran Hijau Arkadia Tower F Lantai GF, Jl. TB Simatupang No.88, RT.1/RW.2, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520 "
99,Pejaten Bar.,PASAR MINGGU,Starbucks Pejaten Raya,"Alamat: Jl. Pejaten Raya No.26, RW.7, Pejaten Bar., Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510 "
100,Pejaten Bar.,PASAR MINGGU,Starbucks Coffee,"Alamat: Jl. Buncit Raya No.98, RT.1/RW.7, Pejaten Bar., Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510 "
101,Kebagusan,PASAR MINGGU,Starbucks Coffee,"Alamat: 53A, Jl. TB Simatupang No.2, RT.2/RW.1, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520 "
102,Kebagusan,PASAR MINGGU,Starbucks Coffee,"Alamat: Perkantoran Hijau Arkadia Tower F Lantai GF, Jl. TB Simatupang No.88, RT.1/RW.2, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520 "
103,Kby. Lama Utara,KEBAYORAN LAMA,Starbucks Coffee - Gandaria City Mall,"Alamat: Gandaria City Mall Lt. G, Jl. Kyai Haji Moh Syafi Hadzami No. 8, Kebayoran Lama Utara, Kebayoran Lama, RT.10/RW.6, Kby. Lama Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240 "
104,Kby. Lama Utara,KEBAYORAN LAMA,Starbucks Reserve (Gandaria City),"Alamat: Gandaria City, Lantai GF, Jl. Arteri Pd. Indah No.22-23, RT.10/RW.6, Kby. Lama Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240 "
105,Pd. Pinang,KEBAYORAN LAMA,Starbucks,"Alamat: 2, Jl. Gedung Hijau I No.9, RT.1/RW.13, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310 "
106,Pd. Pinang,KEBAYORAN LAMA,Starbucks,"Alamat: Wisma BCA Pd. Indah, 1, Jl. Metro Pondok Indah No.10, RW.17, Pd. Pinang, 12310 "
107,Pd. Pinang,KEBAYORAN LAMA,Starbucks,"Alamat: Pd. Indah Office Tower 3, Jl. Arteri Pd. Indah, RT.4/RW.3, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310 "
108,Pd. Pinang,KEBAYORAN LAMA,Starbucks Ruko Plaza Pondok Indah,"Alamat: Carrefour, Jl. Lebak Bulus Raya No.8, RT.1/RW.7, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310 "
109,Pd. Pinang,KEBAYORAN LAMA,Starbucks PIM 3,"Alamat: PQMJ+VF4, Jl. Kartika Utama, RT.6/RW.3, Pd. Pinang, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310 "
110,Grogol Utara,KEBAYORAN LAMA,Starbucks Bellezza Shopping Arcade,"Alamat: 4, Jl. Letnan Jenderal Soepeno No.34, RT.4/RW.2, Grogol Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12210 "
