,Kelurahan,Kecamatan,Nama SMA,Alamat
27,Sumberadi,MLATI,SMA Santo Mikael Yogyakarta,"Alamat: Jl. Purbaya, Ds. Warak, Sumberadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55288 "
28,Caturtunggal,DEPOK,"SMA Negeri 1 Depok, Sleman (dahulu SMA Negeri 2 Sleman Babarsari)","Alamat: 6CG7+C3F, Jl.Babarsari, Kel. Caturtunggal, Kec. Depok, Kab. Sleman, Tambak Bayan, Caturtunggal, Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
29,Caturtunggal,DEPOK,SMA Kolombo Sleman,"Alamat: Jl. Rajawali Jl. Demangan Baru No.10, Mrican, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
30,Caturtunggal,DEPOK,SMA Kolese De Britto Yogyakarta,"Alamat: Demangan Baru, Jl. Laksda Adisucipto No.161, Demangan Baru, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
31,Caturtunggal,DEPOK,SMA Gama,"Alamat: Jl. Affandi No.5, Santren, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
32,Caturtunggal,DEPOK,SMAN 6 YOGJAKARTA,"Alamat: Perum Town House2, Jl. Nologaten, Tempel, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
33,Caturtunggal,DEPOK,TMPO & TBO SMK N 2 Depok - Sleman,"Alamat: 69GR+XX3, Santren, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
34,Caturtunggal,DEPOK,STM Pembangunan YOGYAKARTA,"Alamat: Jl. STM Pembangunan No.6A, Santren, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
35,Caturtunggal,DEPOK,Sora Manga School,"Alamat: Jl. Beo No.38, 55182, Mrican, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
36,Caturtunggal,DEPOK,Sora Manga School,"Alamat: Ruko Demangan Baru No.6, Mrican, Caturtunggal, Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
37,MAGUWOHARJO,DEPOK,MTs & MA Darussalam,"Alamat: 7C2V+X6J, Jl. Tempelsari Banjeng, Banjeng, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
38,MAGUWOHARJO,DEPOK,MAN 2 Sleman,"Alamat: Jl. Raya Tajem No.32, Tajem, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
39,MAGUWOHARJO,DEPOK,SMK Negeri 1 Depok,"Alamat: 6CMJ+Q9J, Jl. Ring Road Utara Meguwo, Sanggrahan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
40,MAGUWOHARJO,DEPOK,MA Diponegoro Yogyakarta,"Alamat: Sembego RT 01, RW.38, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55282 "
41,MAGUWOHARJO,DEPOK,SMK Diponegoro Depok,"Alamat: 6CQQ+RVW, Komplek Pondok Pesantren Diponegoro Sembego, Depok, Sembego, Maguwoharjo, Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
42,Condongcatur,DEPOK,SMA SahabatQu,"Alamat: Jl. Gandok Baru No.32, Candok, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
43,Condongcatur,DEPOK,MA Darul Qur'an Wahid Hasyim,"Alamat: MA Darul Qur'an Pp, Jl. Wahid Hasyim, Dabag, Condongcatur, Depok, Sleman Regency, Special Region of Yogyakarta 55281 "
44,Condongcatur,DEPOK,Ma'had Tahfidz Al Qur'an At Tasniim,"Alamat: Jl. Ring Road Utara No.17, Candok, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta "
45,Tegaltirto,BERBAH,Rumah Privat Al Huffadz,"Alamat: 5CWV+5C2, Berbah, Tegaltirto, Kec. Berbah, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55573 "
46,Kalitirto,BERBAH,SMK Nasional Berbah,"Alamat: 6F55+M2W, Jl. Tanjungtirto, Kali Pentung, Kalitirto, Kec. Berbah, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55573 "
47,Kalitirto,BERBAH,M.O.O.N Labs,"Alamat: 5FX4+G6Q, Jl. Sumber Lor, Sumber Lor, Kalitirto, Kec. Berbah, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55573 "
48,Wukirharjo,PRAMBANAN,SMA Islam 1 Prambanan,"Alamat: 5GW8+XRQ, Unnamed Road, Klumprit II, Wukirharjo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572 "
49,Sambirejo,PRAMBANAN,SMA Negeri 1 Prambanan Klaten,"Alamat: 6G83+GVR, Gn. Sari, Sambirejo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572 "
50,MADUREJO,PRAMBANAN,SMA Negeri 1 Prambanan,"Alamat: Jl. Raya Piyungan - Prambanan No.Km. 4.5, Majesem, Madurejo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572 "
51,Bokoharjo,PRAMBANAN,SMA Muhammadiyah 1 Prambanan,"Alamat: 6FQR+637, Jalan Piyungan, Gatak, Bokoharjo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572 "
52,Bokoharjo,PRAMBANAN,SMA Islam 1 Prambanan,"Alamat: 6FRQ+7RR, Jl. Piyungan, Klurak Baru, Bokoharjo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572 "
53,Bokoharjo,PRAMBANAN,SMAIT Baitussalam Yogyakarta,"Alamat: Jl. Pulerejo, Pulir Rejo, Bokoharjo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572 "
54,Bokoharjo,PRAMBANAN,SMA Masa Depan,"Alamat: 6FFM+CMF, Marangan, Bokoharjo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572 "
55,Bokoharjo,PRAMBANAN,MA Raden Fatah,"Alamat: JL. Pelemsari, Bokoharjo - Prambanan - Sleman, 55572, Jobohan, Bokoharjo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572 "
56,Bokoharjo,PRAMBANAN,SMK Muhammadiyah Prambanan,"Alamat: Jl. Raya Piyungan - Prambanan, Gatak, Bokoharjo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572 "
57,PURWOMARTANI,KALASAN,SMA Masa Depan,"Alamat: 6CHW+Q34, Jl. Candi Sambisari, Kadirojo I, Purwomartani, Kec. Kalasan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571 "
58,Tirtomartani,KALASAN,SMA Muhammadiyah Kalasan,"Alamat: Jalan Raya LPMP No.km 0,6, Dhuri, RT.01/RW.20, Tirtomartani, Kec. Kalasan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571 "
59,Tirtomartani,KALASAN,SMK Muhammadiyah 1 Kalasan,"Alamat: 6FRF+J4P, Ngajeg, Tirtomartani, Kec. Kalasan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571 "
60,Selomartani,KALASAN,SMA NEGERI 4 Yogyakarta,"Alamat: 7FP8+WHW, Kiyudan, Selomartani, Kec. Kalasan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571 "
61,Bimomartani,NGEMPLAK,SMA Negeri 1 Ngemplak Sleman,"Alamat: Jl. Jangkang-Manisrenggo No.KM 2, Cokro Gaten, Bimomartani, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55584 "
62,Bimomartani,NGEMPLAK,SMA Ikip Veteran Ngemplak,"Alamat: 7FX7+XHJ, Area Sawah, Bimomartani, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55584 "
63,WEDOMARTANI,NGEMPLAK,MA ANWAR FUTUHIYYAH,"Alamat: 7C79+2RJ, Jl. Mawar Blotan, Krajan, Wedomartani, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55584 "
64,WEDOMARTANI,NGEMPLAK,SMA Internasional Budi Mulia Dua,"Alamat: 7C5M+329, Panjen, Wedomartani, Ngemplak, Kenayan, Wedomartani, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55584 "
65,WEDOMARTANI,NGEMPLAK,BRIAN COURSES,"Alamat: gang puntadewa 2 No.12, RW.56, Bakungan, Wedomartani, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta "
66,SARIHARJO,NGAGLIK,SMA Insan Mulia Boarding School Yogyakarta,"Alamat: Jl. Nakula Jl. Nglempong Sari No.32, RT./RW/RW.007/ 022, lor, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581 "
67,SARIHARJO,NGAGLIK,Madrasah Aliyah (MA) Daarul 'Ulum Sinar Melati,"Alamat: 79PH+F7P, Rejodani 1, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581 "
68,SARIHARJO,NGAGLIK,Pondok Dai & Tahfidz Al Jalil,"Alamat: 79PH+9FX, Rejodani 1, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581 "
69,Sinduharjo,NGAGLIK,SMA Kolombo Sleman,"Alamat: 7CJ4+59H, Jl. Yudhistira, Dentan, Sinduharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581 "
70,Sinduharjo,NGAGLIK,SMA NEGERI 4 Yogyakarta,"Alamat: Gentan Sinduharjo No.12, Dentan, Sinduharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581 "
71,Sukoharjo,NGAGLIK,SMA Negeri 2 Ngaglik,"Alamat: Jl. Besi Jangkang Km. 5, Sukoharjo, Ngaglik, Karanglo, Sukoharjo, Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581 "
72,Sardonoharjo,NGAGLIK,Pondok Pesantren Pandanaran,"Alamat: No., Jl. Pandanaran No.60, Candi Winangun, Sardonoharjo, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581 "
73,Sardonoharjo,NGAGLIK,SMU Santo Agustinus Sleman,"Alamat: 7CQ2+RMX, Jl. Bias, Bulusari, Sardonoharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581 "
74,Caturharjo,SLEMAN,SMA Negeri 1 Sleman,"Alamat: Jl. Magelang Km.14 Medari, Jetis, Caturharjo, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55515 "
75,Caturharjo,SLEMAN,SMA MUHAMMADIYAH II MEDARI,"Alamat: 889Q+3FP, Jetis, Caturharjo, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55515 "
76,Triharjo,SLEMAN,SMA Negeri 1 Tempel,"Alamat: Panggeran, Panggeran 12, Triharjo, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55514 "
