,Kelurahan,Kecamatan,Nama Starbucks,Alamat
0,Sinduadi,MLATI,Starbucks Coffee Jogja City Mall,"Alamat: Jogja City Mall GF #01-02, Jl. Magelang No.Km 6 No. 18, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284 "
1,Caturtunggal,DEPOK,Starbucks,"Alamat: Plaza Ambarrukmo, Jl. Laksda Adisucipto, Ambarukmo, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
2,Caturtunggal,DEPOK,Starbucks Uttara Icon,"Alamat: Jl. Kaliurang, Manggung, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
3,Caturtunggal,DEPOK,Starbucks Coffee Seturan - Kledokan,"Alamat: 6CG5+WMR, Kledokan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
4,Condongcatur,DEPOK,Starbucks Reserve Pakuwon Mall Jogja,"Alamat: 69QX+VF8, Lantai GF Hartono Mall, Jl. Ring Road Utara Jl. Kaliwaru, Kaliwaru, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
5,Condongcatur,DEPOK,Starbucks Reserve Pakuwon Jogja,"Alamat: Pakuwon mall yogyakarta, Sanggrahan, Condongcatur, Depok, Sleman Regency, Special Region of Yogyakarta "
