,Kelurahan,Kecamatan,Nama Starbucks,Alamat
26,Banyuraden,GAMPING,Fakultas Ekonomi dan Sosial Unjaya,"Alamat: 684J+MCH, Area Sawah, Banyuraden, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55293 "
27,Banyuraden,GAMPING,Kekandhangan,"Alamat: Jl. Cokrowijayan, Area Sawah, Banyuraden, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55293 "
28,Banyuraden,GAMPING,Asrama Taruna Bhumi Blok 3A,"Alamat: 688V+96P, Sekolah Tinggi Pertahanan Nasional, Area Sawah, Banyuraden, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55293 "
29,Banyuraden,GAMPING,Almiftah island,"Alamat: 688V+96P, Sekolah Tinggi Pertahanan Nasional, Area Sawah, Banyuraden, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55293 "
30,Nogotirto,GAMPING,Universitas 'Aisyiyah Yogyakarta,"Alamat: Mlangi Nogotirto, Jl. Siliwangi Jl. Ringroad Barat No.63, Area Sawah, Nogotirto, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55592 "
31,Nogotirto,GAMPING,Universitas 'Aisyiyah Yogyakarta_Area B,"Alamat: 68MM+H94, Area Sawah, Nogotirto, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55592 "
32,Nogotirto,GAMPING,kampus,"Alamat: Jl. Siliwangi Jl. Ringroad Barat No.63, Area Sawah, Nogotirto, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55592 "
33,Nogotirto,GAMPING,Rusunawa Universitas Aisyiyah Yogyakarta,"Alamat: 68PM+56P, Cambahan, Nogotirto, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55592 "
34,Nogotirto,GAMPING,Bulek supiyah,"Alamat: Jl. Kyai Sri Pujo No.28, Cambahan, Nogotirto, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55592 "
35,Nogotirto,GAMPING,Asrama Mahasiswa UNISA,"Alamat: 68MM+XXC, Jl. Ringroad Barat, Mlangi, Nogotirto, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta "
36,Nogotirto,GAMPING,Sekolah Tehnologi Ilmu Bisnis Management,"Alamat: Jl. Ngapak - Kentheng KM.5, Nogosaren, Nogotirto, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55293 "
37,Nogotirto,GAMPING,Ma'had Aly Assalafiyyah II Terpadu Mlangi,"Alamat: Jl. Kiai Masduqi Mlangi, Area Sawah, Nogotirto, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55592 "
38,Nogotirto,GAMPING,Kontrakan Melinting,"Alamat: Jl. Bangsa No.101, Karang Wetan, Nogotirto, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55592 "
39,Nogotirto,GAMPING,Almiftah island,"Alamat: 68QJ+XX7, Mlangi, Nogotirto, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55292 "
40,Nogotirto,GAMPING,Perpustakaan Unisa Yogya,"Alamat: Gedung C Universitas 'Aisyiyah Yogyakarta, Area Sawah, Nogotirto, Gamping, Sleman Regency, Special Region of Yogyakarta "
41,Nogotirto,GAMPING,Pondok Pesantren Atbaa'ussalaf,"Alamat: Jl. Santri II, Mlangi Lor RT06 RW33, Sawahan, Nogotirto, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55592 "
42,Trihanggo,GAMPING,Kost kirana Falestine,"Alamat: 785X+RCC, Kranggahan I, Trihanggo, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55291 "
43,Godean,GODEAN,Institut seni Indonesia,"Alamat: 67MR+WP2, Godean, Sidoagung, Kec. Godean, Kabupaten Sleman, Daerah Istimewa Yogyakarta "
44,Godean,GODEAN,Gang Joikromo,"Alamat: 68PG+2JP, Beji, Besi, Sidoarum, Godean, Sleman Regency, Special Region of Yogyakarta 55287 "
45,Sidoagung,GODEAN,Institut seni Indonesia,"Alamat: 67MR+WP2, Godean, Sidoagung, Kec. Godean, Kabupaten Sleman, Daerah Istimewa Yogyakarta "
46,Sidokarto,GODEAN,Sekretariat Tarantula Adventure,"Alamat: 68G5+6C7, Area Sawah, Sidokarto, Kec. Godean, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55264 "
47,Sidoarum,GODEAN,Universitas aisyiyah Yogyakarta,"Alamat: 68GG+PJ8, Cokro Gedok, Sidoarum, Kec. Godean, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55264 "
48,Sidoarum,GODEAN,Gang Joikromo,"Alamat: 68PG+2JP, Beji, Besi, Sidoarum, Godean, Sleman Regency, Special Region of Yogyakarta 55287 "
49,Sidoarum,GODEAN,JASA Joki Tugas JANABADRA,"Alamat: 68F8+CV8, Unnamed Road, Bantulan, Sidoarum, Kec. Godean, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55264 "
50,Sumbersari,MOYUDAN,Dew's Home,"Alamat: 67G9+M7P, Tegal Rejo, Sumbersari, Kec. Moyudan, Kabupaten Sleman, Daerah Istimewa Yogyakarta "
51,Sendangrejo,MINGGIR,Kajian Moyudan Area KKL1,"Alamat: 7756+5Q8, Soronondan, Sendangrejo, Kec. Minggir, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55562 "
52,Margoluwih,SEYEGAN,Les Privat Matematika SD Jogja,"Alamat: 67WW+R9J, Klaci I, Margoluwih, Kec. Seyegan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55561 "
53,Margodadi,SEYEGAN,Omah Koe,"Alamat: Jl. Wates Kavling No.2, RT.01/RW.19, Kadipiro, Margodadi, Seyegan, Sleman Regency, Special Region of Yogyakarta 55561 "
54,Margoagung,SEYEGAN,Les AHE Seyegan,"Alamat: 78R4+F6H, Krapyak, Margoagung, Kec. Seyegan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55561 "
55,Margoagung,SEYEGAN,REKTAP,"Alamat: 78M5+W6X, Ngaglik, Margoagung, Kec. Seyegan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55561 "
56,Sinduadi,MLATI,Universitas negeri yogya,"Alamat: 69HC+MPP, Jl. Sendowo B, Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
57,Sinduadi,MLATI,Kampus 2 Universitas Widya Mataram,"Alamat: Jl. Magelang No.18, Kutu Patran, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284 "
58,Sinduadi,MLATI,Magister Teknologi Informasi UGM,"Alamat: Jl. Magelang 49 No.100, Kutu Asem, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284 "
59,Sinduadi,MLATI,Asrama Mahasiswa Ratnaningsih Universitas Gadjah Mada Yogyakarta,"Alamat: 69HF+M59, Jl. Sendowo B, Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
60,Sinduadi,MLATI,Universitas Gadjah Mada S2 & S3 FMIPA,"Alamat: Universitas Gajah Mada, Jalan Sekip Utara, Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
61,Sinduadi,MLATI,Program Sarjana Fakultas Farmasi Universitas Gadjah Mada,"Alamat: Universitas Gajah Mada, Jalan Sekip Utara, Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
62,Sinduadi,MLATI,Stikes guna bangsa,"Alamat: 69JG+8G, Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
63,Sinduadi,MLATI,Magister Kesehatan Masyarakat UGM,"Alamat: Jl. Magelang 49 No.100, Kutu Asem, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284 "
64,Sinduadi,MLATI,Teknik Fisika UGM,"Alamat: Jl. Grafika No.2, Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284 "
65,Sinduadi,MLATI,Kebijakan & Manajemen Pelayanan Kesehatan,"Alamat: Universitas Gadjah Mada, Jl. Farmako, Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
66,Sinduadi,MLATI,Pusat Kedokteran Tropis UGM,"Alamat: Gedung Penelitian dan Pengembangan FKKMK UGM, Jl. Medika, Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
67,Sinduadi,MLATI,Studio belajar,"Alamat: 69P9+X35, Kutu Dukuh, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284 "
68,Sinduadi,MLATI,Basecamp,"Alamat: 69HC+6VF, Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
69,Sinduadi,MLATI,MSI UGM,"Alamat: Jl. Magelang 49 No.100, Kutu Asem, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284 "
70,Sinduadi,MLATI,Kampus S2 Ilmu Kesehatan Masyarakat,"Alamat: 69JF+5X4 Gedung Fakultas Kedokteran UGM, Jl. Farmako, Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
71,Sinduadi,MLATI,Departemen Farmasetika (Unit III),"Alamat: 69JG+PQ8, Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta "
72,Sinduadi,MLATI,Engineering Research and Innovation Center,"Alamat: Universitas Gadjah Mada, Jl. Grafika No.2, Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284 "
73,Sinduadi,MLATI,Kampus S2 Ilmu Kedokteran Klinik,"Alamat: 69JG+H8J, JL. Farmako, Sekip Utara, Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
74,Sinduadi,MLATI,Kampus Ilmu Keperawatan UGM,"Alamat: Jl. Farmako Sekip Utara No.55281, Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
75,Sinduadi,MLATI,Magister Teknologi Informasi UGM,"Alamat: Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284 "
76,Sinduadi,MLATI,Sekolah Tinggi Multi Media (MMTC) Yogyakarta,"Alamat: Jl. Magelang No.6, Kutu Patran, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284 "
77,Sinduadi,MLATI,Kantin Jurusan Teknik Sipil Dan Lingkungan,"Alamat: Fakultas Teknik Universitas Gadjah Mada, Jl. Grafika No.2, Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
78,Sinduadi,MLATI,Tempat Uji Kompetensi BIOTEKNOLOGI,"Alamat: 69MG+C9P, Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta "
79,Sinduadi,MLATI,Puspics,"Alamat: Universitas Gadjah Mada, Jalan Sekip Utara, Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
80,Sinduadi,MLATI,Gedung Ismangoen,"Alamat: Universitas Gadjah Mada, Jl. Farmako, Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
81,Sinduadi,MLATI,Prodi Magister Ilmu Kedokteran Klinis FK KMK UGM,"Alamat: 69JF+7VR, Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
82,Sinduadi,MLATI,SEMAR UGM Innovation Center,"Alamat: Fakultas Teknik Universitas Gadjah Mada, Jl. Grafika No.2, Sendowo, Sinduadi, Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284 "
83,Sinduadi,MLATI,Lab Hidraulika Dtsl Ft Ugm,"Alamat: Jl. Pogung Kidul No.4, Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284 "
84,Sinduadi,MLATI,Program Studi S2 Ilmu Kesehatan Masyarakat UGM,"Alamat: JL. Farmako, Sekip Utara, 55281, Jl. Sendowo, Sendowo, Sinduadi, Mlati, Sleman Regency, Special Region of Yogyakarta 55281 "
85,Sinduadi,MLATI,SEKOLAH TINGGI MARITIM YOGYAKARTA,"Alamat: Jl. Magelang KM 4.4 Pos 42 Tromol, Kutu Dukuh, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284 "
86,Sinduadi,MLATI,Magister Sistem dan Teknik Transportasi UGM,"Alamat: Departemen Teknik Sipil dan Lingkungan, FT UGM, Jl. Grafika, Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284 "
87,Sinduadi,MLATI,Institut Pertanian INTAN,"Alamat: JL Magelang Km 5.6, Yogyakarta, 55283, Kutu Tegal, Sinduadi, Mlati, Sleman Regency, Special Region of Yogyakarta 55284 "
88,Sinduadi,MLATI,LP3I Yogyakarta,"Alamat: Jl. Padjajaran, Jl. Ring Road Utara Barat Asrama Haji No.KM.2, Pogung Lor, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283 "
89,Sinduadi,MLATI,Lab.Elektronika Dasar dan Lab.Instrumentasi Dasar Departemen Ilmu Komputer dan Elektronika FMIPA UGM,"Alamat: 69MG+6F9, Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
90,Sinduadi,MLATI,Pusat Kesehatan Reproduksi Fakultas Kedokteran UGM,"Alamat: Jalan Bulaksumur Jl. Sagan No.24, Sagan, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
91,Sinduadi,MLATI,Akademi Maritim Ganesha,"Alamat: 69Q6+V7F, Popongan, Sleman, Kutu Asem, Sinduadi, Sinduadi, Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284 "
92,Sinduadi,MLATI,Program Profesi Insinyur FT UGM,"Alamat: Kompleks Fakultas Teknik, Jl. Grafika No.2, Sendowo, Sinduadi, Mlati, Sleman Regency, Special Region of Yogyakarta "
93,Sinduadi,MLATI,Kampus S2 Ilmu Kedokteran Dasar dan Biomedis,"Alamat: Bagian Akademik S2 FK UGM, Jl. Farmako, Sekip Utara, Sinduadi, Mlati, Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
94,Sinduadi,MLATI,Gedung C Fakultas Matematika dan Ilmu Pengetahuan Alam,"Alamat: 69JG+WWG, Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281 "
